,row_no,FIPS,date,rainfall,county_name
553,553,26003,2022-02-01,51.24285714285714,Alger
554,554,26003,2022-03-01,68.3,Alger
555,555,26003,2022-04-01,112.83333333333331,Alger
556,556,26003,2022-05-01,63.114285714285714,Alger
557,557,26003,2022-06-01,88.18571428571428,Alger
558,558,26003,2022-07-01,55.41666666666666,Alger
559,559,26003,2022-08-01,103.72857142857144,Alger
560,560,26003,2022-09-01,79.14285714285714,Alger
561,561,26003,2022-10-01,127.36666666666667,Alger
562,562,26003,2022-11-01,107.27142857142856,Alger
563,563,26003,2022-12-01,95.38,Alger
564,564,26003,2023-01-01,68.75,Alger
565,565,26003,2023-02-01,60.03333333333333,Alger
566,566,26003,2023-03-01,46.84,Alger
567,567,26003,2023-04-01,127.98,Alger
568,568,26003,2023-05-01,119.72857142857144,Alger
569,569,26003,2023-06-01,51.114285714285714,Alger
570,570,26003,2023-07-01,94.48333333333336,Alger
571,571,26003,2023-08-01,57.71428571428572,Alger
572,572,26003,2023-09-01,42.44285714285714,Alger
573,573,26003,2023-10-01,109.91428571428573,Alger
574,574,26003,2023-11-01,63.11666666666667,Alger
575,575,26003,2023-12-01,60.25714285714286,Alger
576,576,26005,2000-01-01,50.8,Allegan
577,577,26005,2000-02-01,50.9,Allegan
578,578,26005,2000-03-01,31.4,Allegan
579,579,26005,2000-04-01,123.1,Allegan
580,580,26005,2000-05-01,256.2,Allegan
581,581,26005,2000-06-01,97.1,Allegan
582,582,26005,2000-07-01,128.35000000000002,Allegan
583,583,26005,2000-08-01,73.75,Allegan
584,584,26005,2000-09-01,162.10000000000002,Allegan
585,585,26005,2000-10-01,42.8,Allegan
586,586,26005,2000-11-01,106.0,Allegan
587,587,26005,2000-12-01,112.4,Allegan
588,588,26005,2001-01-01,25.05,Allegan
589,589,26005,2001-02-01,82.6,Allegan
590,590,26005,2001-03-01,35.3,Allegan
